model,seed,nested_mean_acc,nested_std_acc,holdout_accuracy,holdout_precision,holdout_recall,holdout_specificity,holdout_f1,holdout_auc,best_params,num_features_top
rf,1292,0.5382352941176471,0.08989252521742505,0.7647058823529411,1.0,0.5,1.0,0.6666666666666666,0.8055555555555555,"{'clf__max_depth': None, 'clf__n_estimators': 200, 'select__k': 100}",100
lr,1292,0.6470588235294118,0.06489777695181244,0.6470588235294118,0.6666666666666666,0.5,0.7777777777777778,0.5714285714285714,0.6944444444444444,"{'clf__C': 10, 'clf__penalty': 'l2', 'select__k': 10}",10
xgb,1292,0.5264705882352941,0.09403144029900788,0.5882352941176471,0.6,0.375,0.7777777777777778,0.46153846153846156,0.7500000000000001,"{'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'select__k': 40}",40
xgbrf,1292,0.5742647058823529,0.07981921614771713,0.7058823529411765,1.0,0.375,1.0,0.5454545454545454,0.7361111111111112,"{'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 100, 'clf__subsample': 0.8, 'select__k': 50}",50
rf,4337,0.6485294117647059,0.11011259572376006,0.7058823529411765,0.7142857142857143,0.625,0.7777777777777778,0.6666666666666666,0.7569444444444445,"{'clf__max_depth': None, 'clf__n_estimators': 100, 'select__k': 60}",60
lr,4337,0.7213235294117647,0.06478938462326672,0.8235294117647058,0.8571428571428571,0.75,0.8888888888888888,0.8,0.7777777777777778,"{'clf__C': 1, 'clf__penalty': 'l2', 'select__k': 10}",10
xgb,4337,0.6588235294117647,0.04664338684456972,0.5882352941176471,0.5454545454545454,0.75,0.4444444444444444,0.631578947368421,0.75,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'select__k': 20}",20
xgbrf,4337,0.6088235294117647,0.07748897678051603,0.5294117647058824,0.5,0.625,0.4444444444444444,0.5555555555555556,0.7638888888888888,"{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 0.8, 'select__k': 50}",50
rf,5590,0.6220588235294118,0.11859453035346017,0.4117647058823529,0.375,0.375,0.4444444444444444,0.375,0.5416666666666667,"{'clf__max_depth': 5, 'clf__n_estimators': 100, 'select__k': 10}",10
lr,5590,0.6830882352941177,0.10636125357937343,0.7058823529411765,0.7142857142857143,0.625,0.7777777777777778,0.6666666666666666,0.7361111111111112,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'select__k': 10}",10
xgb,5590,0.5970588235294118,0.06537918412050563,0.47058823529411764,0.4444444444444444,0.5,0.4444444444444444,0.47058823529411764,0.5972222222222223,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 100, 'select__k': 10}",10
xgbrf,5590,0.5735294117647058,0.11469174120977545,0.47058823529411764,0.4444444444444444,0.5,0.4444444444444444,0.47058823529411764,0.513888888888889,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 100, 'clf__subsample': 1.0, 'select__k': 50}",50
rf,3348,0.6610294117647059,0.12980388454474917,0.7647058823529411,0.8333333333333334,0.625,0.8888888888888888,0.7142857142857143,0.875,"{'clf__max_depth': None, 'clf__n_estimators': 100, 'select__k': 80}",80
lr,3348,0.6213235294117647,0.03102209280842499,0.5882352941176471,0.5714285714285714,0.5,0.6666666666666666,0.5333333333333333,0.6111111111111112,"{'clf__C': 10, 'clf__penalty': 'l2', 'select__k': 20}",20
xgb,3348,0.6117647058823529,0.09037240331139156,0.47058823529411764,0.42857142857142855,0.375,0.5555555555555556,0.4,0.45833333333333337,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__n_estimators': 100, 'select__k': 10}",10
xgbrf,3348,0.6220588235294118,0.043834878119967294,0.5294117647058824,0.5,0.375,0.6666666666666666,0.42857142857142855,0.5277777777777777,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__subsample': 0.8, 'select__k': 10}",10
rf,3930,0.6323529411764706,0.09292093040837718,0.6470588235294118,0.625,0.625,0.6666666666666666,0.625,0.6666666666666666,"{'clf__max_depth': None, 'clf__n_estimators': 100, 'select__k': 40}",40
lr,3930,0.6213235294117647,0.145246181661334,0.6470588235294118,0.625,0.625,0.6666666666666666,0.625,0.7083333333333334,"{'clf__C': 1, 'clf__penalty': 'l2', 'select__k': 10}",10
xgb,3930,0.5852941176470589,0.1324223674120179,0.5294117647058824,0.5,0.625,0.4444444444444444,0.5555555555555556,0.5694444444444444,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'select__k': 10}",10
xgbrf,3930,0.6213235294117647,0.07396927258799585,0.6470588235294118,0.625,0.625,0.6666666666666666,0.625,0.5833333333333333,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0, 'select__k': 20}",20
rf,2253,0.5977941176470589,0.09064121827197046,0.7058823529411765,0.7142857142857143,0.625,0.7777777777777778,0.6666666666666666,0.6944444444444444,"{'clf__max_depth': 5, 'clf__n_estimators': 100, 'select__k': 10}",10
lr,2253,0.6463235294117646,0.058887832500517434,0.7647058823529411,0.75,0.75,0.7777777777777778,0.75,0.7916666666666666,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'select__k': 10}",10
xgb,2253,0.4867647058823529,0.1315868350394877,0.7058823529411765,0.6666666666666666,0.75,0.6666666666666666,0.7058823529411765,0.7222222222222222,"{'clf__learning_rate': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'select__k': 50}",50
xgbrf,2253,0.6088235294117647,0.09554863433085452,0.7058823529411765,0.8,0.5,0.8888888888888888,0.6153846153846154,0.8333333333333335,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0, 'select__k': 50}",50
rf,2400,0.6345588235294117,0.09418081519904727,0.6470588235294118,0.6,0.75,0.5555555555555556,0.6666666666666666,0.6944444444444445,"{'clf__max_depth': None, 'clf__n_estimators': 100, 'select__k': 10}",10
lr,2400,0.6830882352941177,0.04401949866792872,0.7647058823529411,0.75,0.75,0.7777777777777778,0.75,0.7916666666666667,"{'clf__C': 1, 'clf__penalty': 'l2', 'select__k': 20}",20
xgb,2400,0.6330882352941176,0.07243300209426325,0.5882352941176471,0.5454545454545454,0.75,0.4444444444444444,0.631578947368421,0.6805555555555556,"{'clf__learning_rate': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'select__k': 10}",10
xgbrf,2400,0.6205882352941177,0.1037364240502847,0.7058823529411765,0.7142857142857143,0.625,0.7777777777777778,0.6666666666666666,0.7916666666666667,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 0.8, 'select__k': 10}",10
rf,7705,0.6852941176470588,0.09605654512625204,0.7647058823529411,0.75,0.75,0.7777777777777778,0.75,0.736111111111111,"{'clf__max_depth': 5, 'clf__n_estimators': 100, 'select__k': 20}",20
lr,7705,0.6845588235294118,0.11500714585892441,0.7647058823529411,0.8333333333333334,0.625,0.8888888888888888,0.7142857142857143,0.8055555555555556,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'select__k': 10}",10
xgb,7705,0.6110294117647059,0.1339850350575659,0.4117647058823529,0.3333333333333333,0.25,0.5555555555555556,0.2857142857142857,0.4166666666666667,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'select__k': 50}",50
xgbrf,7705,0.6477941176470589,0.11895868114630898,0.5882352941176471,0.6666666666666666,0.25,0.8888888888888888,0.36363636363636365,0.7916666666666666,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0, 'select__k': 50}",50
rf,6993,0.5735294117647058,0.1512812923390222,0.5882352941176471,0.6666666666666666,0.25,0.8888888888888888,0.36363636363636365,0.625,"{'clf__max_depth': None, 'clf__n_estimators': 200, 'select__k': 70}",70
lr,6993,0.5838235294117646,0.16262139463514508,0.7058823529411765,0.7142857142857143,0.625,0.7777777777777778,0.6666666666666666,0.7222222222222223,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'select__k': 20}",20
xgb,6993,0.5477941176470589,0.08866317820578154,0.5294117647058824,0.5,0.375,0.6666666666666666,0.42857142857142855,0.5694444444444444,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'select__k': 50}",50
xgbrf,6993,0.5595588235294118,0.06840211605622197,0.5882352941176471,0.6666666666666666,0.25,0.8888888888888888,0.36363636363636365,0.5416666666666667,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 0.8, 'select__k': 30}",30
rf,7322,0.6352941176470589,0.0806614630805664,0.47058823529411764,0.4444444444444444,0.5,0.4444444444444444,0.47058823529411764,0.6666666666666667,"{'clf__max_depth': None, 'clf__n_estimators': 100, 'select__k': 30}",30
lr,7322,0.6463235294117646,0.022829668670970624,0.6470588235294118,0.6666666666666666,0.5,0.7777777777777778,0.5714285714285714,0.5555555555555556,"{'clf__C': 1, 'clf__penalty': 'l2', 'select__k': 20}",20
xgb,7322,0.5867647058823529,0.11458798616955647,0.5882352941176471,0.5714285714285714,0.5,0.6666666666666666,0.5333333333333333,0.5902777777777778,"{'clf__learning_rate': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 100, 'select__k': 10}",10
xgbrf,7322,0.5845588235294118,0.07591711470082534,0.5882352941176471,0.5714285714285714,0.5,0.6666666666666666,0.5333333333333333,0.6805555555555556,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__subsample': 1.0, 'select__k': 20}",20
